id,flags_isPublicSale,flags_isNewClassified,flags_isNewPrice,flags_isInvestmentProject,flags_isNewlyBuilt,flags_isNotarySale,flags_isLifeAnnuitySale,flags_adQuality,flags_date,flags_priceSqm,flags_price,flags_default,flags_isSoldOrRented,flags_isLowEnergy,flags_percentSold,flags_isPassiveHouse,flags_isNewRealEstateProject,flags_isAnInteractiveSale,flags_isUnderOption,property_type,property_subtype,property_bedroomCount,property_bedrooms,property_bathroomCount,property_bathrooms,property_location_postalCode,property_location_floor,property_location_latitude,property_location_longitude,property_isHolidayProperty,property_location_type,property_location_hasSeaView,property_location_pointsOfInterest,property_netHabitableSurface,property_roomCount,property_attic,property_hasAttic,property_basement_surface,property_hasBasement,property_hasDressingRoom,property_diningRoom,property_hasDiningRoom,property_building_annexCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_building_floorCount,property_building_streetFacadeWidth,property_propertyCertificates_builtPlanStatus,property_propertyCertificates_globalInsulationLevel,property_propertyCertificates_oilTankCertificateStatus,property_propertyCertificates_primaryEnergyConsumptionLevel,property_propertyCertificates_hasAsbestosCertificate,property_propertyCertificates_hasElectricalInstallationComplianceCertificate,property_hasCaretakerOrConcierge,property_hasDisabledAccess,property_hasLift,property_constructionPermit_constructionType,property_constructionPermit_floodZoneType,property_constructionPermit_isObtained,property_constructionPermit_hasObligationToConstruct,property_constructionPermit_hasPlotDivisionAuthorization,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_isBreachingUrbanPlanningRegulation,property_constructionPermit_floodZoneIconUrl,property_constructionPermit_totalBuildableGroundFloorSurface,property_constructionPermit_urbanPlanningInformation,property_constructionPermit_pScore,property_constructionPermit_gScore,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_hasCollectiveWaterHeater,property_energy_hasDoubleGlazing,property_energy_performance,property_kitchen_surface,property_kitchen_type,property_kitchen_hasOven,property_kitchen_hasMicroWaveOven,property_kitchen_hasDishwasher,property_kitchen_hasWashingMachine,property_kitchen_hasFridge,property_kitchen_hasFreezer,property_kitchen_hasSteamOven,property_land,property_laundryRoom,property_hasLaundryRoom,property_livingRoom,property_hasLivingRoom,property_hasBalcony,property_hasBarbecue,property_hasGarden,property_gardenSurface,property_gardenOrientation,property_parkingCountIndoor,property_parkingCountOutdoor,property_parkingCountClosedBox,property_hasAirConditioning,property_hasArmoredDoor,property_hasVisiophone,property_hasSecureAccessAlarm,property_hasCableTV,property_hasDoorPhone,property_hasInternet,property_showerRoomCount,property_showerRooms,property_specificities_hasOffice,property_specificities_office,property_specificities_hasWorkspace,property_specificities_workspace,property_toiletCount,property_toilets,property_hasFitnessRoom,property_hasTennisCourt,property_hasSwimmingPool,property_hasSauna,property_hasJacuzzi,property_hasHammam,property_bedroomSurface,property_habitableUnitCount,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_type,transaction_subtype,transaction_certificates_carbonEmission,transaction_certificates_primaryEnergyConsumptionPerSqm,transaction_certificates_primaryEnergyConsumptionYearly,transaction_certificates_epcReference,transaction_certificates_epcScore,transaction_certificates_renovationObligation,transaction_rental,transaction_sale_price,transaction_sale_cadastralIncome,transaction_sale_publicSale,transaction_sale_pricePerSqm,transaction_sale_isFurnished,transaction_sale_homeToBuild
20712847,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,2,[],none,[],9850,none,51.0767916,3.5390267,none,none,none,none,none,none,none,none,None,none,none,none,none,none,to_restore,none,4,none,none,None,None,None,None,None,None,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 932}",none,none,none,false,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,[],None,None,None,None,none,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,None,None,None,None,None,None,none,198000,0,none,none,none,none
20709759,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,true,house,villa,4,[],3,[],9850,none,none,none,none,none,none,none,360,4,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,None,none,false,{'surface': none},true,none,as_new,1979,4,2,18.15,none,none,none,0,true,none,false,false,false,all_kind,non_flood_zone,true,false,false,false,false,none,0,none,a,a,gas,none,true,false,false,true,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': true, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 28, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': 'connected', 'surface': 2376}",none,none,none,true,none,none,none,none,none,8,none,none,false,true,false,true,true,false,true,0,[],true,none,true,none,3,[],none,none,none,none,none,none,none,none,true,40,none,for_sale,buy_regular,none,147,none,none,b,false,none,1295000,1578,none,none,none,none
20708952,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,farmhouse,3,[],1,[],9850,none,51.0613042,3.5438498,none,none,none,none,228,16,none,none,None,none,true,{'surface': none},true,none,as_new,2003,none,none,none,no,none,none,0,true,true,false,none,none,none,non_flood_zone,true,false,false,false,false,none,0,none,a,a,none,false,true,false,none,none,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': true, 'isfacingstreet': true, 'isflat': true, 'iswooded': true, 'landwidth': 0, 'latestusedesignation': 'agr', 'rearland': none, 'sewerconnection': none, 'surface': 7560}",none,none,none,true,none,none,none,none,none,1,5,none,none,false,none,false,true,none,true,none,[],true,none,none,none,1,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,8052,222,none,20240809-0003336552-res-1,c,false,none,995000,0,none,none,false,none
20716979,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,7,[],3,[],9850,none,51.0304355,3.5551963,none,residential,none,none,262,none,none,none,None,none,none,none,none,none,good,1948,2,3,none,none,none,not_specified,none,true,true,none,false,false,none,none,true,none,false,false,false,none,0,none,d,c,gas,none,none,none,none,none,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 2122}",none,none,none,false,none,none,none,none,none,none,2,none,none,none,none,none,none,none,none,none,[],None,None,None,None,2,[],none,none,false,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,77,none,3566440,a,false,none,495000,745,none,none,false,none
20718483,false,true,false,false,true,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,4,[],0,[],9850,none,none,none,none,none,none,none,none,4,none,none,None,none,none,none,none,none,as_new,none,none,none,none,yes_conform,none,none,0,false,none,none,none,none,none,non_flood_zone,none,false,none,none,none,none,0,none,none,none,none,false,false,false,none,none,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': none, 'surface': 490}",none,none,none,false,none,none,none,none,none,none,none,none,none,none,none,false,false,none,false,none,[],None,None,None,None,0,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,none,none,,none,none,none,567371,0,none,none,none,none
20718564,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,3,[],0,[],9850,none,none,none,none,none,none,none,none,3,none,none,None,none,none,none,none,none,as_new,none,none,none,none,yes_conform,none,none,0,false,none,none,none,none,none,non_flood_zone,none,false,none,none,none,none,0,none,none,none,none,false,false,false,none,none,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': none, 'surface': 479}",none,none,none,false,none,none,none,none,none,none,none,none,none,none,none,false,false,none,false,none,[],None,None,None,None,0,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,none,none,,none,none,none,590748,0,none,none,none,none
20718579,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,3,[],0,[],9850,none,none,none,none,none,none,none,none,3,none,none,None,none,none,none,none,none,as_new,none,none,none,none,yes_conform,none,none,0,false,none,none,none,none,none,non_flood_zone,none,false,none,none,none,none,0,none,none,none,none,false,false,false,none,none,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': none, 'surface': 500}",none,none,none,false,none,none,none,none,none,none,none,none,none,none,none,false,false,none,false,none,[],None,None,None,None,0,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,none,none,,none,none,none,541674,0,none,none,none,none
20718595,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],2,[],9850,none,51.0710407,3.5300776,none,none,none,none,139,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,d,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,137,south_west,none,none,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,581619,0,none,none,none,none
20718599,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],1,[],9850,none,51.0710407,3.5300776,none,none,none,none,132,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,a,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,288,south_west,none,2,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,596905,0,none,none,none,none
20718596,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],2,[],9850,none,51.0710407,3.5300776,none,none,none,none,135,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,d,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,353,south_west,none,none,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,597810,0,none,none,none,none
20718598,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],2,[],9850,none,51.0710407,3.5300776,none,none,none,none,138,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,d,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,160,south_west,none,none,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,589241,0,none,none,none,none
20718600,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],2,[],9850,none,51.0710407,3.5300776,none,none,none,none,145,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,a,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,270,south_west,none,2,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,599943,0,none,none,none,none
20718597,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],1,[],9850,none,51.0710407,3.5300776,none,none,none,none,128,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,d,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,143,south_west,none,none,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,579386,0,none,none,none,none
20718602,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,4,[],2,[],9850,none,51.0710407,3.5300776,none,none,none,none,171,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,a,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,168,south_west,none,2,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,623075,0,none,none,none,none
20718603,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],1,[],9850,none,51.0710407,3.5300776,none,none,none,none,130,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,a,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,143,south_west,none,none,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,583043,0,none,none,none,none
20718604,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,villa,3,[],1,[],9850,none,51.0710407,3.5300776,none,none,none,none,132,none,none,none,None,none,none,none,none,none,none,2025,3,none,none,no,none,not_specified,30,false,true,none,none,none,none,none,true,none,none,none,none,none,0,none,d,a,none,true,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 10000}",none,none,none,false,none,none,true,218,south_west,none,3,none,none,none,none,none,none,none,none,0,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,none,a+,false,none,593036,0,none,none,none,none
20702698,false,true,false,false,true,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,3,"[{'surface': 10}, {'surface': 11}, {'surface': 11}]",1,[],9800,none,50.981917,3.5759983,none,none,none,none,177,11,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,None,none,none,none,none,none,none,2024,none,none,none,no,none,none,32,false,true,none,none,none,none,non_flood_zone,true,false,true,false,none,none,0,none,none,none,none,true,true,false,none,none,none,9,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'wug', 'rearland': none, 'sewerconnection': 'connected', 'surface': 419}",none,none,{'surface': 36},true,none,none,none,none,none,none,none,none,none,none,none,false,true,none,true,none,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,none,none,,a,false,none,319909,0,none,none,false,none
20702597,false,true,false,false,true,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,3,"[{'surface': 13}, {'surface': 10}, {'surface': 10}]",1,[],9800,none,50.981917,3.5759983,none,none,none,none,200,12,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': 42}",true,None,none,none,none,none,none,none,2024,none,none,none,no,none,none,32,false,true,none,none,none,none,non_flood_zone,true,false,true,false,none,none,0,none,none,none,none,true,true,false,none,none,none,8,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'wug', 'rearland': none, 'sewerconnection': 'connected', 'surface': 433}",none,none,{'surface': 31},true,none,none,none,none,none,1,none,none,none,none,none,false,true,none,true,none,[],None,None,None,None,2,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,none,none,,a,false,none,341156,0,none,none,false,none
20709044,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,true,house,house,3,"[{'surface': 11}, {'surface': 8}, {'surface': 11}]",0,[],9800,none,50.9660093,3.5459393,none,none,none,none,96,none,none,none,None,none,none,none,none,none,just_renovated,1930,3,2,none,None,None,None,None,None,None,none,none,false,none,none,none,none,none,none,none,none,0,none,d,d,none,none,none,none,none,true,none,23,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 620}",none,none,{'surface': 30},true,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,[],None,None,None,None,1,[],none,none,false,none,none,none,none,none,true,none,south_west,for_sale,buy_regular,none,195,none,20250430-0003589660-res-1,b,false,none,329000,0,none,none,false,none
20702309,false,true,false,false,false,none,false,none,none,none,none,none,false,none,none,none,false,none,false,house,house,4,[],2,[],9800,none,50.98566810000001,3.5649778,none,fitted_out,none,none,307,1,none,none,None,none,false,none,none,none,good,1979,4,2,25,none,none,none,0,true,none,false,false,false,all_kind,non_flood_zone,true,false,false,false,false,none,0,none,c,c,gas,none,false,false,false,true,none,None,None,None,None,None,None,None,None,None,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': true, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 43, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 1860}",none,none,none,true,none,none,none,none,none,2,4,none,false,false,false,false,false,false,false,0,[],None,None,None,None,3,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,428,none,20240130-0003127196-res-1,e,true,none,675000,1923,none,none,none,none
